RunNumber    target    charge       TLT   TE_SHMS    TE_HMS SHMS_aero  SHMS_cal   HMS_cal   HMS_cer       all
6524        D2   97.1729  0.978556  0.957077  0.998998  0.932888  0.932615   0.99639  0.970019  0.786753
6525        D2   94.0029  0.979895  0.974648  0.997478  0.917358  0.921588  0.994962   0.97455  0.780939
6526        D2   91.9368  0.978785  0.966252  0.996795  0.927832   0.92953  0.995429  0.975158  0.789226
6527        D2   57.5722  0.972904  0.960554  0.993415  0.939371  0.944695  0.996462  0.980312  0.804778
6528        D2   47.4612  0.973186  0.972853  0.997266    0.9212  0.928342  0.993892  0.968048  0.776877
6529        D2   47.4445  0.973394  0.974571  0.996778  0.931822    0.9379  0.994033  0.965756  0.793338
6535        D2   31.9653  0.978943  0.978836  0.992701  0.824951  0.928994  0.996528  0.979276  0.711412
6536        D2   29.7864  0.976257   0.97379  0.997238  0.833904  0.921804  0.992967  0.970286  0.702129
6537        D2   10.1253  0.975329  0.977465         1  0.938961  0.942783  0.992636  0.965713  0.809001
6541        D2   7.07903  0.979647   0.97615         1  0.936014  0.938606  0.992199  0.967262  0.806296
6542        D2   6.57552  0.981411  0.967578         1   0.94076  0.944828  0.991438   0.97046  0.812104
6543        D2   6.93521  0.983485  0.972288         1  0.946929   0.94095  0.995008  0.970081  0.822396
6545        D2   5.82177  0.974937    0.9772         1  0.941643  0.951681    0.9933  0.954802  0.809713
6548        D2    4.5305  0.974482  0.969342         1  0.908667  0.915553  0.994805  0.967758  0.756561
6549        D2   4.37139  0.974715  0.972461         1  0.925954  0.925703  0.991071  0.960753  0.773619
6550        D2  0.417331  0.980397  0.974596         1  0.904531  0.898058         1         1  0.776166
6551        D2 0.0494672  0.978896  0.945205         1         1         1         1         1  0.925258
7593        D2   82.2951  0.992456  0.904762         1   0.93085  0.931001         1         1  0.778171
7608        D2   180.015  0.989451  0.955556         1  0.938802  0.936432  0.996362  0.966029  0.800032
7609        D2   181.932  0.990244  0.955752         1    0.9336  0.935085  0.997197  0.969976  0.799174
7610        D2   112.291  0.990446  0.985507         1  0.932534  0.928836  0.997575  0.966062  0.814788
7611        D2   159.482  0.984409     0.968  0.988889  0.922367  0.922189    0.9951  0.968076  0.772144
7612        D2   129.333  0.984802  0.976879         1  0.918787   0.91533   0.99497  0.966244   0.77782
7613        D2   170.171  0.983881  0.969072         1   0.91651  0.914939   0.99592  0.967574  0.770436
7614        D2   167.222   0.98377  0.943128         1  0.919307  0.919781  0.997133  0.966532  0.756098
7615        D2   174.771  0.982576  0.973077         1  0.916346  0.914762  0.995172  0.965968  0.770446
7616        D2   56.1858  0.981613  0.984848         1  0.915361  0.906928  0.995585  0.971325    0.7761
7625        D2   107.982  0.981055  0.974359         1  0.891172  0.893603  0.995886   0.96888  0.734511
7626        D2   117.147  0.980909  0.962617         1  0.911675  0.907819   0.99636  0.972656   0.75735
7627        D2   88.0902  0.980709  0.968254         1   0.89305  0.890958  0.994981  0.970066  0.729253
7628        D2   103.719  0.980096  0.940594  0.979592  0.894117  0.886878  0.996011  0.972178  0.693401
7629        D2   97.7991  0.981328      0.96         1  0.903995  0.897441  0.996078  0.970071  0.738507
7630        D2   109.593  0.979727   0.95339         1  0.908412  0.902299  0.995224  0.969697  0.738866
7631        D2   113.863  0.979893  0.954774         1  0.903931  0.894837  0.994817  0.977927  0.736221
7632        D2   115.889  0.979364  0.955556         1  0.886137  0.877429  0.996194  0.958576  0.694838
7633        D2   106.919  0.981077  0.975369         1  0.894411  0.881639  0.996243   0.98014  0.736807
7634        D2   121.161  0.979696  0.972727         1  0.907713  0.902361  0.997484  0.973512  0.757981
7635        D2   80.6847  0.993894         1         1  0.950171  0.950584  0.998829  0.973962  0.873304
7636        D2   89.3829  0.994179  0.952381         1  0.942994  0.944654  0.997875  0.966725  0.813647
7637        D2   29.6148  0.994284         1         1  0.941606  0.942466  0.996334  0.975603  0.857677
7642        D2   79.5994  0.991591  0.928571         1  0.941265  0.941903   0.99508  0.968557  0.786773
7643        D2   69.3745  0.992137         1         1  0.939362  0.939007   0.99722   0.97474  0.850654
7644        D2   80.9185  0.992314  0.954545         1  0.946286   0.94573  0.997157  0.968532  0.818677
7645        D2   35.4978  0.991498         1         1  0.940618   0.94004  0.998375  0.973679  0.852238
7646        D2   64.1563  0.985474  0.938776         1  0.933112  0.933534  0.998116  0.976563   0.78551
7647        D2   66.8697  0.987615  0.977273         1  0.929051  0.925792  0.997018  0.971072  0.803731
7648        D2   71.3906  0.987857   0.95122         1  0.920732  0.918781  0.996901  0.974709  0.772408
7649        D2   66.0191  0.986647  0.902439         1  0.929503  0.929865  0.996655  0.970847  0.744639
7650        D2    69.748  0.986932  0.895833         1  0.923508  0.924114   0.99411  0.962565  0.722013
7651        D2   77.2174  0.985192  0.954545         1   0.91839  0.913901  0.996028  0.972494  0.764543
7652        D2   79.5751  0.983673  0.948276         1  0.937602  0.932232  0.998209  0.976234  0.794517
7661        D2   48.6415  0.981991         1         1    0.9117  0.910675   0.99573  0.969539  0.787099
7662        D2   47.6496  0.985053  0.954545         1  0.922356  0.916248  0.993611  0.975291  0.770049
7663        D2    50.325  0.983779  0.945455         1  0.905339  0.901077  0.995746  0.976752  0.737979
7666        D2   19.4809  0.984249  0.947368         1  0.924991  0.917883  0.993396  0.975381  0.767088
7667        D2   27.5004  0.983002  0.954545         1  0.922184  0.917598         1         1  0.794001
7668        D2   45.9028  0.985308         1         1  0.920693  0.906494  0.999708  0.975192  0.801705
7669        D2   46.7693  0.984098  0.923077         1  0.913397  0.908095  0.996835  0.969427  0.728124
7670        D2   43.5773  0.984244  0.959184         1   0.91235  0.907946  0.995681  0.974538  0.758831
7671        D2    152.84  0.977189  0.929032         1  0.899732  0.901573  0.995075  0.976921  0.715877
7672        D2    179.37  0.976277  0.915094         1  0.886055  0.888998   0.99427   0.96898  0.677984
7679        D2   110.939  0.978761  0.922581         1  0.885124  0.888327  0.995891  0.971784  0.687131
7680        D2   101.787  0.978953  0.973154  0.989362  0.898512  0.896672  0.995054  0.978716  0.739535
7681        D2   105.509  0.978033  0.921569         1   0.89028   0.89028  0.994412  0.972857  0.691114
7682        D2    105.72  0.978438   0.94186         1  0.901588   0.90381   0.99192    0.9729  0.724686
7684        D2   57.1786   0.97921  0.941748         1  0.890294  0.892299  0.993548  0.974345  0.709179
7685        D2   56.4573  0.980705  0.974138         1   0.89279   0.89308  0.991949  0.966627  0.730377
7686        D2    56.144  0.980638  0.960526         1  0.891373  0.890441  0.997164  0.969523  0.722782
7687        D2   59.3899  0.981985  0.942529  0.967742  0.895723  0.890708  0.993913  0.975871   0.69312
7688        D2   47.8869  0.981875  0.963636         1  0.900716  0.899467  0.991661  0.980576  0.745397
7689        D2   68.8901  0.981158    0.9375         1  0.911451  0.908903  0.995845  0.979793  0.743511
7690        D2   24.9764  0.979958  0.979167         1  0.894703  0.896318  0.991379  0.971372  0.741021
7692        D2   30.0164  0.982243  0.863636  0.956522  0.888938  0.887474  0.995521  0.972222  0.619566
7699        D2   107.738  0.980024  0.932203         1  0.867168  0.924812         1         1  0.732662
7702        D2   104.341  0.979457  0.962687         1  0.915281  0.915158  0.997361  0.975265  0.768238
7703        D2   15.4219  0.979301    0.9375         1  0.912221  0.913191  0.997946  0.965827   0.73715
7706        D2   61.9703  0.980991  0.935065         1  0.915684  0.915397  0.993401  0.970564  0.741329
7707        D2    53.835  0.981024  0.904762         1  0.913237  0.911942  0.995914  0.973283  0.716517
7708        D2   57.3091  0.980483         1         1  0.916059  0.916014  0.989858  0.971942   0.79155
7709        D2   59.8159  0.980743  0.968254      0.98  0.903957  0.908924  0.991432  0.972282  0.737057
7710        D2   30.3413  0.981908  0.967742         1  0.903387  0.908317  0.991429  0.979653  0.757314
7716        D2   31.8969  0.983726  0.933333         1  0.907304  0.904847  0.996021  0.965602  0.724945
