correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6195	390.2	46.3	56.87	0.96	0.994	0.98	0.968	0.9991	0.9959	0.9748	0.9880	0.9805	0.8506
6196	55.0	40.8	98.46	0.96	0.994	0.98	0.968	0.9986	0.9958	0.9959	0.9894	0.9973	0.8846
6197	103.8	41.3	91.19	0.96	0.994	0.98	0.968	0.9981	0.9970	0.9943	0.9893	0.9948	0.8814
6198	497.2	30.8	52.88	0.96	0.994	0.98	0.968	0.9987	0.9955	0.9781	0.9920	0.9751	0.8515
6199	497.6	30.8	56.81	0.96	0.994	0.98	0.968	0.9984	0.9958	0.9783	0.9920	0.9751	0.8516
6200	461.6	56.3	94.35	0.96	0.994	0.98	0.968	0.9982	0.9968	0.9772	0.9854	0.9769	0.8473
6201	461.7	56.3	92.84	0.96	0.994	0.98	0.968	0.9985	0.9956	0.9771	0.9854	0.9769	0.8465
6202	480.9	30.8	90.74	0.96	0.994	0.98	0.968	0.9985	0.9955	0.9797	0.9920	0.976	0.8535
6203	481.4	30.8	89.12	0.96	0.994	0.98	0.968	0.9985	0.9945	0.9789	0.9920	0.9759	0.8519
6204	480.9	30.8	53.82	0.96	0.994	0.98	0.968	0.9988	0.9953	0.9773	0.9920	0.976	0.8516
6205	475.0	15.3	48.85	0.96	0.994	0.98	0.968	0.9990	0.9953	0.9810	0.9960	0.9762	0.8586
6208	480.6	15.3	14.77	0.96	0.994	0.98	0.968	0.9990	0.9970	0.9817	0.9960	0.976	0.8605
6209	476.1	15.3	60.83	0.96	0.994	0.98	0.968	0.9990	0.9959	0.9816	0.9960	0.9762	0.8596
6210	475.6	15.3	25.84	0.96	0.994	0.98	0.968	0.9985	0.9958	0.9793	0.9960	0.9762	0.8570
6211	193.0	41.3	63.45	0.96	0.994	0.98	0.968	1.0000	0.9973	0.9919	0.9893	0.9904	0.8774
6212	192.6	41.3	144.10	0.96	0.994	0.98	0.968	0.9988	0.9952	0.9910	0.9893	0.9904	0.8736
6213	349.6	41.3	83.76	0.96	0.994	0.98	0.968	0.9983	0.9962	0.9868	0.9893	0.9825	0.8635
6214	349.7	41.3	70.96	0.96	0.994	0.98	0.968	0.9990	0.9947	0.9863	0.9893	0.9825	0.8623
6215	470.7	8.3	9.92	0.96	0.994	0.98	0.968	0.9995	0.9959	0.9851	0.9978	0.9765	0.8649
6216	470.5	8.3	39.74	0.96	0.994	0.98	0.968	0.9989	0.9961	0.9832	0.9978	0.9765	0.8629
6217	470.9	8.3	11.98	0.96	0.994	0.98	0.968	0.9991	0.9961	0.9820	0.9978	0.9765	0.8620
